"name","category","platform","size_or_scale","data_format","official_link","paper_or_project_link","last_checked_utc"
"Mind2Web","dataset","web","2,350 tasks; 137 websites; 31 domains","Natural-language instruction + HTML (raw/clean) + action sequence (CLICK/TYPE/SELECT)","https://huggingface.co/datasets/osunlp/Mind2Web","https://osu-nlp-group.github.io/Mind2Web/","2026-02-25"
"Multimodal-Mind2Web","dataset","web","14,193 examples (all splits)","Screenshot + HTML + action annotations","https://huggingface.co/datasets/osunlp/Multimodal-Mind2Web","https://github.com/OSU-NLP-Group/Mind2Web","2026-02-25"
"WebLINX","dataset","web","100K interactions; 2,300 expert demonstrations; 150+ websites","Multi-turn dialogue history + screenshot + HTML/DOM + action history","https://huggingface.co/datasets/McGill-NLP/WebLINX","https://mcgill-nlp.github.io/weblinx/","2026-02-25"
"Android in the Wild (AITW)","dataset","mobile-android","715K episodes; 30K instructions","Android screenshots/trajectories + natural-language goals + actions","https://github.com/google-research/google-research/tree/master/android_in_the_wild","http://crawles.github.io/aitw/","2026-02-25"
"AndroidControl","dataset","mobile-android","15,283 demonstrations; 833 apps; 14,548 tasks","High-level and step-level instructions + screenshot + accessibility tree + actions","https://proceedings.neurips.cc/paper_files/paper/2024/hash/a79f3ef3b445fd4659f44648f7ea8ffd-Abstract-Datasets_and_Benchmarks_Track.html","https://arxiv.org/abs/2406.03679","2026-02-25"
"RICO","dataset","mobile-android","66K+ screens; 9.7K apps; ~3M UI elements","UI screenshots + view hierarchy + metadata + traces","https://interactionmining.org/rico","https://dl.acm.org/doi/10.1145/3126594.3126651","2026-02-25"
"RICO-SCA","dataset","mobile-android","~25,677 screens; ~295,476 command annotations","Screenshot + semantic annotations + bounding boxes + icon/text labels","https://huggingface.co/datasets/rootsautomation/RICO-SCA","https://paperswithcode.com/dataset/ricosca","2026-02-25"
"GUI-Odyssey","dataset","mobile-android","8,334 episodes; 212 apps; 1,357 app combinations","Cross-app task trajectories + action steps + semantic reasoning annotations","https://huggingface.co/datasets/OpenGVLab/GUI-Odyssey","https://github.com/OpenGVLab/GUI-Odyssey","2026-02-25"
"ScreenSpot","dataset","cross-platform-web-mobile-desktop","1,200+ instructions (common citation); HF variant includes 610 rows","Screenshot + grounding instruction + target bbox/point","https://huggingface.co/datasets/benwiesel/ScreenSpot","https://openreview.net/forum?id=KZUH53BnIc","2026-02-25"
"ScreenSpot-Pro","dataset","desktop-professional-software","~1,581 screenshot-instruction pairs; 23 applications; 3 OS","High-resolution screenshots + expert instructions + fine-grained grounding boxes","https://huggingface.co/datasets/likaixin/ScreenSpot-Pro","https://github.com/likaixin2000/ScreenSpot-Pro-GUI-Grounding","2026-02-25"
"GroundCUA","dataset","desktop","3.56M annotations; 56K screenshots; 87 applications","Desktop screenshots + dense JSON annotations (bbox/text/category)","https://huggingface.co/datasets/ServiceNow/GroundCUA","https://groundcua.github.io/","2026-02-25"
"UGround (data release)","dataset","cross-platform-web-mobile-desktop","10M GUI elements; 1.3M screenshots","Screenshot + referring instruction + grounding box","https://huggingface.co/collections/osunlp/uground-677824fc5823d21267bc9812","https://osu-nlp-group.github.io/UGround/","2026-02-25"
"OS-Atlas-data","dataset","cross-platform-web-mobile-desktop","13M+ GUI elements","Screenshot + instruction + normalized bbox across web/mobile/desktop domains","https://huggingface.co/datasets/OS-Copilot/OS-Atlas-data","https://osatlas.github.io/","2026-02-25"
"UI-Vision","dataset-benchmark","desktop","83 applications; 8.2K+ query-label pairs","Desktop GUI screenshots + UI labels/boxes + action trajectories","https://huggingface.co/datasets/ServiceNow/ui-vision","https://uivision.github.io/","2026-02-25"
"GUI-360","dataset-benchmark","desktop-windows","1.2M+ executed action steps; thousands of trajectories","Full-resolution screenshots + accessibility metadata + goals + action/reasoning traces","https://openreview.net/forum?id=JLEneHy8qC","https://arxiv.org/abs/2511.04307","2026-02-25"
"AgentNet (OpenCUA)","dataset","cross-platform-web-mobile-desktop","3 OS; 200+ applications/websites (officially highlighted coverage)","Human demonstration trajectories + executable action supervision + benchmark tooling","https://github.com/xlang-ai/OpenCUA","https://opencua.xlang.ai/","2026-02-25"
"WebArena","benchmark","web","812 tasks","Self-hosted web environments + execution-based task evaluation","https://github.com/web-arena-x/webarena","https://webarena.dev/","2026-02-25"
"VisualWebArena","benchmark","web","910 tasks","Visual web tasks requiring screenshot understanding + execution-based evaluation","https://github.com/web-arena-x/visualwebarena","http://jykoh.com/vwa","2026-02-25"
"OSWorld","benchmark","desktop-cross-os","369 tasks","Real computer-use tasks in open desktop environments","https://github.com/xlang-ai/OSWorld","http://os-world.github.io/","2026-02-25"
"AndroidWorld","benchmark","mobile-android","116 tasks across 20 apps","Dynamic Android task generation + autonomous agent evaluation","https://github.com/google-research/android_world","https://google-research.github.io/android_world/","2026-02-25"
"MiniWoB++","benchmark","web","100 tasks","Web interaction tasks with programmatic rewards","https://github.com/Farama-Foundation/miniwob-plusplus","https://miniwob.farama.org/","2026-02-25"
